Cust_Num,Comp_Name,First_Name,Last_Name,Phone_Num,Street_Address,City,State,Zip,Category
AL-1020,"Peck, Henderson, and Everett Stores",Cindy,Bowers,(981) 555-1293,11 Clark Ave. ,Tuscaloosa,AL,35405,Reseller
AL-1021,"Michael, Reynolds, and Wilson Restaurant Group",Hector,Golden,(435) 555-3904,44 San Carlos Street ,Montgomery,AL,36109,Reseller
AL-1022,Hays  Purveyors,Jimmy,Kramer,(852) 555-9422,797 Kent St. ,Enterprise,AL,36330,Reseller
AL-1023,Graham-Thompson Wines,Serenity,Frost,(742) 555-2452,428 Fairground Court ,Trussville,AL,35173,Reseller
AL-1024,Steamy Liquid Cafe,Amare,Willis,(679) 555-0472,46 West Brook Rd. ,Pelham,AL,35124,Retailer
AL-1025,Keller-Ramsey ,Lukas,Arellano,(458) 555-4409,9834 Pin Oak St. ,Dothan,AL,36301,Reseller
AL-1026,Wilson  Purveyors,Adam,Orozco,(583) 555-2565,5 Peninsula St. ,Hartselle,AL,35640,Reseller
AR-1001,"Owens, Reed, and Waters Purveyors",Cherish,Douglas,(428) 555-7136,129 Rockledge Street ,El Dorado,AR,71730,Reseller
AR-1002,"Schultz, Kelley, and Harris Restaurants",Kimberly,Turner,(383) 555-6913,316 E. Sage Street ,Little Rock,AR,72209,Reseller
AR-1003,"Hernandez, Sullivan, and Frazier Group",Arthur,Mckee,(505) 555-3863,39 Valley St. ,El Dorado,AR,71730,Reseller
AR-1004,"Cunningham, Hall, and Parker Liquors",Terry,Carrillo,(591) 555-9569,93 West Ann Rd. ,Little Rock,AR,72209,Reseller
AZ-1001,Gamble-Morgan Inc.,Cullen,Jimenez,(732) 555-2998,67 North Wintergreen St. ,Glendale,AZ,85302,Reseller
AZ-1002,Wilcox-Miller Liquors,Elle,Roberson,(705) 555-0484,898 Gregory Drive ,Tucson,AZ,85718,Reseller
AZ-1003,Steele-Keller Liquors,Gavyn,Wyatt,(350) 555-7040,17 Howard St. ,Yuma,AZ,85365,Reseller
AZ-1004,Colon  Wine & Liquor,Frederick,Osborn,(484) 555-9781,115 Mountainview St. ,Mesa,AZ,85203,Reseller
AZ-1005,Vasquez-Hernandez Purveyors,Irvin,Leonard,(664) 555-7433,811 East County St. ,Buckeye,AZ,85326,Reseller
AZ-1006,Normal Yak Deli,Uriah,Zuniga,(920) 555-5830,9146 Ridgeview Drive ,Sun City,AZ,85351,Retailer
AZ-1007,"Moore, Brennan, and Henry Stores",Elaina,Callahan,(494) 555-9686,52 Prospect Lane ,Glendale,AZ,85302,Reseller
AZ-1008,"Cruz, Brown, and Johnson Stores",Lacey,Beltran,(212) 555-5831,8406 Park Ave. ,Phoenix,AZ,85021,Reseller
AZ-1009,Fritz  Restaurants,Finley,Moran,(863) 555-5676,9601 Anderson Street ,Chandler,AZ,85224,Reseller
AZ-1010,"Garcia, Russell, and Rivera ",Bianca,Wolfe,(573) 555-0743,934 Pilgrim Ave. ,Tucson,AZ,85718,Reseller
AZ-1011,Williams-Brown Wine & Liquor,Nia,Blake,(362) 555-2386,9331 Lancaster Dr. ,Mesa,AZ,85203,Reseller
AZ-1012,Price  Purveyors,Brynn,Acevedo,(510) 555-5061,73 S. Canal Lane ,Yuma,AZ,85365,Reseller
CA-1001,Carroll-Holmes Inc.,Jada,Ball,(493) 555-2778,3 San Carlos Ave. ,Lawndale,CA,90260,Reseller
CA-1002,"Thompson, Hubbard, and Hicks LLC",Leah,Higgins,(268) 555-2924,9475 W. Edgewater Ave. ,Anaheim,CA,92806,Reseller
CA-1003,Whimsical Pigs Inn,Rashad,Conway,(940) 555-1353,951 Kent Road ,Canyon Country,CA,91387,Retailer
CA-1004,Taylor-Marshall Beverages,Steven,Phelps,(489) 555-1273,879 Peninsula St. ,Upland,CA,91784,Reseller
CA-1005,Pitts  ,Johanna,Hendrix,(974) 555-6822,8938 Summerhouse Ave. ,Ridgecrest,CA,93555,Reseller
CA-1006,"Reyes, Aguirre, and Graham Stores",Mya,Winters,(343) 555-6652,77 Highland Rd. ,Mountain View,CA,94043,Reseller
CA-1007,"Evans, Dillon, and Norton Wine & Liquor",Brenna,Hobbs,(205) 555-3077,8338 Roberts Road ,Banning,CA,92220,Reseller
CA-1008,Zippy Pigs Stores,Grant,Hurst,(508) 555-3294,42 Garfield Ave. ,San Carlos,CA,94070,Retailer
CA-1009,"Collins, Kramer, and Cunningham Liquors",Madyson,Estes,(222) 555-9329,9 Applegate St. ,Los Angeles,CA,90008,Reseller
CA-1010,Taylor-Werner Wines,Elias,Kerr,(860) 555-1004,17 Heather Street ,Oxnard,CA,93035,Reseller
CA-1011,Perry  ,Karlie,Rios,(602) 555-7729,876 University St. ,Palos Verdes Peninsula,CA,90274,Reseller
CA-1012,Whitaker  ,Jonathan,Pace,(884) 555-3433,536 New Saddle Road ,Encino,CA,91316,Reseller
CA-1013,Hebert-Chaney Purveyors,Hassan,Anthony,(971) 555-3175,65 Brookside Street ,Fresno,CA,93706,Reseller
CA-1014,Reyes  ,Sophie,Frank,(983) 555-2181,7033 Walnutwood Dr. ,Bakersfield,CA,93306,Reseller
CA-1015,Graham  Beverages,Kinley,Shepard,(787) 555-8746,73 Orange Drive ,Campbell,CA,95008,Reseller
CA-1016,"Ford, Walter, and Taylor Beverages",Cailyn,Reese,(262) 555-9271,910 Second Street ,Torrance,CA,90505,Reseller
CA-1017,"Hunt, Archer, and Hensley ",Nylah,Campbell,(236) 555-6872,13 Squaw Creek Lane ,Rocklin,CA,95677,Reseller
CA-1018,Wallace  Beverages,Jaydon,Reese,(892) 555-5534,5 Sherman St. ,Redondo Beach,CA,90278,Reseller
CA-1019,Rice-Knight Beverages,Briley,Jones,(488) 555-9880,8866 Princeton Street ,Pleasanton,CA,94566,Reseller
CA-1020,Bentley  Restaurant Group,Avery,Aguilar,(947) 555-3431,574 Bridge Dr. ,San Jose,CA,95127,Reseller
CA-1021,Romero  Inc.,Maximo,Randolph,(449) 555-4354,9796 St Paul Lane ,Pomona,CA,91768,Reseller
CA-1022,Cultured Word Deli,Lisa,Pollard,(413) 555-3558,82 Yukon Street ,Los Banos,CA,93635,Retailer
CA-1023,Hensley  Restaurant Group,Isabela,Campos,(302) 555-5795,492 Mill Pond Ave. ,Coachella,CA,92236,Reseller
CA-1024,"Anderson, Levy, and Cox Wines",Marquis,Ortiz,(769) 555-1083,383 S. Ridgewood Street ,Fullerton,CA,92831,Reseller
CA-1025,"Welch, Mccall, and Duran ",Alaina,Garner,(809) 555-8672,73 Stonybrook St. ,Santa Clara,CA,95050,Reseller
CA-1026,Lewis-Alexander Liquors,Aileen,Wade,(525) 555-3339,9828 Glenholme Avenue ,Apple Valley,CA,92307,Reseller
CA-1027,"Ryan, Padilla, and Bailey LLC",Nayeli,Craig,(463) 555-0809,823 Glenholme Court ,Oakland,CA,94603,Reseller
CA-1028,Schultz  Group,Iris,Dixon,(577) 555-6527,977 Johnson St. ,San Lorenzo,CA,94580,Reseller
CA-1029,Waters-Diaz Restaurants,Stephany,Watts,(587) 555-9623,18 Queen St. ,Santa Monica,CA,90403,Reseller
CA-1030,Carr-Rice Restaurant Group,Geovanni,Morse,(677) 555-2595,49 Henry Dr. ,Vista,CA,92083,Reseller
CA-1031,Dominguez  ,Jaydan,Maldonado,(414) 555-0796,76 Lilac Lane ,Atwater,CA,95301,Reseller
CA-1032,"Hardy, Gonzalez, and Shah ",Aylin,Oneal,(715) 555-1805,361 Prospect St. ,Rosemead,CA,91770,Reseller
CA-1033,Phillips  Wine & Liquor,Oswaldo,Jimenez,(317) 555-7285,874 Lafayette Street ,Los Angeles,CA,90042,Reseller
CA-1034,Williams-Bennett Restaurants,Elian,Lucas,(244) 555-5599,631 S. Anderson Street ,Pomona,CA,91766,Reseller
CA-1035,Stuart & Perez Restaurant Group  ,Braylen,Willis,(979) 555-4799,8837 Manor Street ,Fontana,CA,92335,Reseller
CA-1036,"Stein, Oneal, and Lee Stores",Aaden,Cohen,(375) 555-6531,2 Columbia Lane ,Santa Ana,CA,92701,Reseller
CA-1037,Lee Anderson Fine Wines,Dalton,Macias,(972) 555-5748,7813 West Dr. ,Los Angeles,CA,90004,Reseller
CA-1038,Pitts  Beverages,Javier,Carter,(266) 555-5101,8802 3rd Street ,Panorama City,CA,91402,Reseller
CA-1039,Bell  Group,Mathew,Zavala,(935) 555-6393,7953 Homewood Avenue ,Bakersfield,CA,93306,Reseller
CA-1040,Holloway-Baker Stores,Coleman,Hines,(402) 555-9047,8 Beach Road ,Alameda,CA,94501,Reseller
CA-1041,Evanescent Smile,Erik,Wu,(445) 555-3956,13 E. Augusta St. ,San Francisco,CA,94112,Retailer
CA-1042,"Estrada, Phillips, and Williams Liquors",Taliyah,Shields,(348) 555-6678,519 Center Street ,Lancaster,CA,93535,Reseller
CA-1043,"Nguyen, Harris, and Joseph Purveyors",America,Fuentes,(839) 555-1327,9351 S. Squaw Creek St. ,San Jose,CA,95123,Reseller
CA-1044,Baker-Lawrence Liquors,Ayana,Neal,(802) 555-6610,810 Manor Street ,El Cajon,CA,92020,Reseller
CA-1045,Larsen  LLC,Gauge,Kaufman,(571) 555-5640,73 Prince Drive ,Lynwood,CA,90262,Reseller
CA-1046,Fuller-Downs ,Alanna,Peck,(431) 555-9268,9 North Essex Avenue ,San Diego,CA,92115,Reseller
CA-1047,Torres  Restaurant Group,Lorelai,Curtis,(209) 555-1326,685 Hillcrest Ave. ,Huntington Beach,CA,92647,Reseller
CA-1048,Kelly  Wine & Liquor,Pamela,Whitney,(229) 555-8891,275 Squaw Creek Road ,Van Nuys,CA,91405,Reseller
CA-1049,"Mitchell, Howell, and Coleman Wine & Liquor",Michaela,Mccarty,(551) 555-8996,530 S. Pearl St. ,Porterville,CA,93257,Reseller
CA-1050,Ortiz  Beverages,Jenny,Fox,(992) 555-5124,998 Pearl Dr. ,Riverside,CA,92509,Reseller
CA-1051,"Lopez, Summers, and Weaver Restaurant Group",Jaylyn,Blake,(855) 555-0813,9021 Charles Avenue ,Chula Vista,CA,91911,Reseller
CA-1052,Alexander  Wines,Alisha,Burch,(998) 555-9835,640 Country Ave. ,Simi Valley,CA,93065,Reseller
CA-1053,Becker-Johnson Group,Nola,Chapman,(716) 555-2072,13 East Grant Lane ,Salinas,CA,93906,Reseller
CA-1054,Williams  LLC,Maliyah,Bishop,(584) 555-7703,18 Chestnut St. ,San Bernardino,CA,92404,Reseller
CA-1055,Steadfast Groove ,Miya,Mccann,(351) 555-2593,9802 High Point Rd. ,Chino,CA,91710,Retailer
CA-1056,Schmitt-Bailey Group,Morgan,Washington,(315) 555-8599,9666 Kirkland Court ,Los Angeles,CA,90022,Reseller
CA-1057,Mccoy-Bruce Group,Makenzie,Krause,(413) 555-5869,582 Greystone Ave. ,San Francisco,CA,94109,Reseller
CA-1058,"Roberts, Boyd, and Werner ",Greta,Sanders,(829) 555-6559,8354 E. Military Drive ,Palmdale,CA,93550,Reseller
CA-1059,"Garcia, Mccormick, and Williams Inc.",Lila,Ross,(943) 555-1425,69 Griffin Road ,Canyon Country,CA,91351,Reseller
CA-1060,Apple Tart Cafe,Israel,Boone,(483) 555-4376,9 Woodside St. ,Carson,CA,90745,Retailer
CA-1061,Thompson-Valdez ,Frank,Weber,(317) 555-3618,97 Catherine Road ,Pico Rivera,CA,90660,Reseller
CA-1062,"Pugh, Bird, and Moreno Wine & Liquor",Brent,Valencia,(557) 555-3146,7702 Theatre St. ,North Hills,CA,91343,Reseller
CA-1063,Intelligent Wire Liquors,Brock,Baxter,(753) 555-9287,38 Victoria Road ,Hawthorne,CA,90250,Retailer
CA-1064,"Mccoy, Dalton, and Black Restaurant Group",Campbell,Olsen,(778) 555-3378,65 Beacon Ave. ,Los Angeles,CA,90026,Reseller
CA-1065,Sweeney-Ortiz ,Jadyn,Rollins,(904) 555-9870,7881 Hanover Lane ,Ontario,CA,91761,Reseller
CA-1066,Castro  ,Aliana,Parsons,(485) 555-4385,9843 West Edgemont Ave. ,Montebello,CA,90640,Reseller
CA-1067,Miller-Boyd Liquors,Chris,Jacobs,(886) 555-3366,4 Division Drive ,El Monte,CA,91732,Reseller
CA-1068,Terry-Myers LLC,Carissa,Frye,(317) 555-1461,7550 Garfield St. ,San Jose,CA,95127,Reseller
CA-1069,Velasquez  Group,Joyce,Wilson,(321) 555-1232,5 Nut Swamp Dr. ,Daly City,CA,94015,Reseller
CA-1070,Wong  Group,Karen,Wu,(245) 555-4999,31 Canal St. ,Oxnard,CA,93030,Reseller
CA-1071,Pena  ,Mallory,Peters,(785) 555-8793,154 Longfellow Avenue ,Los Angeles,CA,90066,Reseller
CA-1072,Barnes  ,Tony,Knight,(238) 555-6537,8917 Forest St. ,Chula Vista,CA,91910,Reseller
CA-1073,Hesitant Shelf,Cruz,Mendoza,(683) 555-2737,17 East Lakeshore Ave. ,Pittsburg,CA,94565,Retailer
CA-1074,Washington  Restaurants,Yahir,Ferrell,(377) 555-3209,650 E. Cottage Court ,Bellflower,CA,90706,Reseller
CA-1075,Mckenzie-Ward Wines,Katelynn,Bryant,(928) 555-2254,970 Colonial Lane ,Cerritos,CA,90703,Reseller
CA-1076,Frederick-Leblanc Restaurants,London,Savage,(406) 555-1246,932 N. Myers Street ,Moreno Valley,CA,92553,Reseller
CA-1077,Smith-Brown Inc.,Clayton,Wang,(926) 555-3076,9993 Court Court ,El Cajon,CA,92021,Reseller
CA-1078,"Harris, Hudson, and Clark ",Erick,Dudley,(604) 555-8640,70 Cleveland Rd. ,Spring Valley,CA,91977,Reseller
CA-1079,Walker-Chavez Inc.,Jaylee,Cantrell,(876) 555-7747,19 St Margarets Road ,Long Beach,CA,90805,Reseller
CA-1080,Mason-Rivera LLC,Kamryn,Murillo,(947) 555-7146,64 Glenlake St. ,Anaheim,CA,92805,Reseller
CA-1081,Puzzled Penguin Cafe,Kamden,West,(302) 555-6588,7282 Howard Lane ,Vallejo,CA,94591,Retailer
CA-1082,Stupendous Sip Beverages,Andre,Rosales,(832) 555-3200,9 Creek Ave. ,Union City,CA,94587,Retailer
CA-1083,Robles-Walsh Inc.,Nola,Morrow,(588) 555-7501,19 4th Street ,Los Angeles,CA,90006,Reseller
CA-1084,Ibarra-Stevens ,Madeleine,Sexton,(816) 555-2501,8168 Eagle Ave. ,Los Angeles,CA,90044,Reseller
CA-1085,Sweet Rice Restaurant,Nasir,Meza,(287) 555-8704,84 Gonzales Dr. ,San Pedro,CA,90731,Retailer
CA-1086,Wade  LLC,Nick,Larson,(372) 555-9957,822 Green Hill Road ,Santa Ana,CA,92704,Reseller
CA-1087,Aguilar  LLC,Zaid,Conway,(521) 555-9399,138 Augusta St. ,San Francisco,CA,94110,Reseller
CA-1088,Lutea Hernandez  LLC,Gabrielle,Reeves,(811) 555-9216,301 Edgefield St. ,Fairfield,CA,94533,Reseller
CA-1089,Fearless Pancake Diner,Macie,Jones,(808) 555-7477,7294 Lake View Drive ,Fremont,CA,94536,Retailer
CA-1090,"Smith, Blackwell, and Lee Restaurant Group",Skyla,Archer,(762) 555-3693,8589 North Wilson Circle ,Napa,CA,94558,Reseller
CA-1091,Mcdaniel  Restaurant Group,Bruno,Gill,(370) 555-6885,963 Jefferson Dr. ,Salinas,CA,93905,Reseller
CA-1092,Beasley-Hunt LLC,Lilia,Floyd,(331) 555-7979,547 Cobblestone Dr. ,Hacienda Heights,CA,91745,Reseller
CA-1093,Bush  ,Carsen,Raymond,(250) 555-2117,26 Poor House St. ,San Diego,CA,92105,Reseller
CA-1094,"Cook, Wright, and Taylor Liquors",Cynthia,Choi,(852) 555-2823,63 Arnold Street ,Garden Grove,CA,92840,Reseller
CA-1095,Superfluous Theory Bakery,Keely,Wilkerson,(763) 555-4656,7033 Fordham Rd. ,Oceanside,CA,92054,Retailer
CA-1096,Bender - Haas Wines,Elliana,Dorsey,(763) 555-5154,76 Cobblestone Street ,Fountain Valley,CA,92708,Reseller
CA-1097,Barnes-Rivera Liquors,Rex,Michael,(414) 555-9810,9053 Hamilton Street ,Huntington Park,CA,90255,Reseller
CA-1098,Ludicrous Lemur,Alijah,Stokes,(933) 555-2008,8982 Beechwood Ave. ,Livermore,CA,94550,Retailer
CA-1099,Turner  Restaurant Group,Whitney,Powell,(426) 555-2829,606 Broad Ave. ,San Jose,CA,95116,Reseller
CA-1100,Anderson  LLC,Sydnee,Hebert,(582) 555-0463,9919 Prospect Avenue ,Van Nuys,CA,91406,Reseller
CA-1101,Wade-Acosta Group,Kaliyah,Gamble,(922) 555-9660,377 NE. Windfall Circle ,South Gate,CA,90280,Reseller
CA-1102,Short Summer Sandwiches,Quinn,Torres,(483) 555-5016,70 Oak Valley Rd. ,Oakland,CA,94601,Retailer
CA-1103,Kelly  Stores,Willow,Neal,(728) 555-6321,8 Pendergast Street ,Los Angeles,CA,90019,Reseller
CA-1104,"Ray, Spencer, and Townsend Restaurants",Lizeth,Moses,(550) 555-3545,7947 Airport St. ,Tulare,CA,93274,Reseller
CA-1105,Keller-Davies ,Joaquin,Irwin,(871) 555-2589,116 Lantern St. ,Sacramento,CA,95828,Reseller
CA-1106,"Smith, Holloway, and Hicks Liquors",Lyla,Rojas,(443) 555-7943,767 Arrowhead St. ,Los Angeles,CA,90037,Reseller
CA-1107,Gold Java Liquors,Madelyn,Rasmussen,(725) 555-8669,8126 Tailwater Lane ,Indio,CA,92201,Retailer
CA-1108,Wright-Smith Group,Larissa,Willis,(583) 555-5328,9194 Prince Court ,San Francisco,CA,94122,Reseller
CA-1109,Glenn-Watson Liquors,Roselyn,Morton,(211) 555-9856,577 River Drive ,Hayward,CA,94544,Reseller
CA-1110,"Castro, Flynn, and Jones ",Johnny,Velasquez,(586) 555-1868,9744 Pulaski St. ,Watsonville,CA,95076,Reseller
CA-1111,Harris-Smith ,Kara,Cruz,(651) 555-4342,86 Ketch Harbour St. ,Costa Mesa,CA,92627,Reseller
CA-1112,Edwards-Nunez Purveyors,Salma,Giles,(654) 555-2127,4 Church Ave. ,Fremont,CA,94538,Reseller
CA-1113,Gutierrez  Restaurants,Abigayle,Hurley,(486) 555-7604,644 N. West Dr. ,South San Francisco,CA,94080,Reseller
CA-1114,Ramos-Zimmerman Purveyors,Jarrett,Rivas,(290) 555-9663,58 Cambridge Drive ,Santee,CA,92071,Reseller
CA-1115,"Nolan, Sutton, and Kennedy ",Esteban,Kirby,(775) 555-7771,20 Washington Circle ,Reseda,CA,91335,Reseller
CA-1116,"Moore, Foster, and Sanchez Inc.",Keyon,Poole,(720) 555-0185,5 Hickory Ave. ,Laguna Niguel,CA,92677,Reseller
CA-1117,The Cluttered Hutch Sandwiches,Nikhil,Woodward,(341) 555-0415,626 Cedar Lane ,Sunnyvale,CA,94087,Retailer
CA-1118,"Smith, King, and Miller Restaurants",Tori,Andersen,(890) 555-3614,7346 Bay Meadows Street ,Azusa,CA,91702,Reseller
CA-1119,Brooks-Moon ,Jaydan,Daugherty,(717) 555-7944,63 Windfall St. ,Bakersfield,CA,93309,Reseller
CA-1120,"Howe, Lawrence, and Murphy ",Holly,Ramos,(901) 555-1699,9393 Old York Road ,Rancho Cucamonga,CA,91730,Reseller
CA-1121,"Thompson, Martin, and Brady Wines",German,Blair,(909) 555-1837,823 Wall Street ,Pacoima,CA,91331,Reseller
CA-1122,Orozco  ,Gaige,Donaldson,(838) 555-6132,73 Cambridge Ave. ,Sylmar,CA,91342,Reseller
CA-1123,Comfortable Pancake Diner,Fatima,Contreras,(545) 555-4546,620 Glenridge Street ,Los Angeles,CA,90063,Retailer
CA-1124,Bond  ,Morgan,Holden,(777) 555-5978,7767 Newbridge Ave. ,Fontana,CA,92336,Reseller
CA-1125,Moon  ,Marlee,Prince,(213) 555-1232,890 Mayfield Street ,Tustin,CA,92780,Reseller
CA-1126,Royal Jelly Cafe,Jada,Roberts,(459) 555-3603,8969 Marsh St. ,Anaheim,CA,92801,Retailer
CA-1127,Scarce Soup Shop,Savanna,Kelly,(346) 555-3567,89 Cooper St. ,Merced,CA,95340,Retailer
CA-1128,"Rodriguez, King, and Williams Beverages",Quinn,Mitchell,(571) 555-6023,9397 Tarkiln Hill Dr. ,San Jose,CA,95122,Reseller
CA-1129,"Fitzgerald, Sims, and Perez Group",Ricky,Clark,(492) 555-3250,762 NE. Windsor Avenue ,Lompoc,CA,93436,Reseller
CA-1130,Allen  Beverages,Elliott,Rasmussen,(557) 555-6587,65 Valley View Ave. ,Sacramento,CA,95823,Reseller
CA-1131,Butler-Gibbs Restaurant Group,Marina,Macias,(837) 555-7244,7984 Tunnel Street ,Baldwin Park,CA,91706,Reseller
CA-1132,"Brown, Lowe, and Bruce Wine & Liquor",Esther,Carroll,(559) 555-5847,435 Bishop St. ,Rocklin,CA,95677,Reseller
CA-1133,"Li, Coleman, and Blackwell Group",Emily,Lawson,(979) 555-9583,225 North Silver Spear Dr. ,Bakersfield,CA,93306,Reseller
CA-1134,Ramirez-Cherry Group,Paloma,Moreno,(660) 555-8239,33 Tailwater Circle ,Yuba City,CA,95993,Reseller
CA-1135,Brown-Kaiser Inc.,Nathalia,Cantu,(299) 555-1848,4 Piper St. ,Anaheim,CA,92806,Reseller
CA-1136,Mcclain  ,Corbin,Oneill,(267) 555-5750,430 Woodsman Ave. ,Canyon Country,CA,91387,Reseller
CA-1137,"Simpson, Stark, and Morris Inc.",Belinda,Brandt,(499) 555-9946,83 Pin Oak Street ,Los Banos,CA,93635,Reseller
CA-1138,"Klein, Dickson, and Ritter LLC",Amara,Doyle,(898) 555-7206,9070 W. Maiden Lane ,Santa Clara,CA,95050,Reseller
CA-1139,Williams-Robinson Wine & Liquor,Aryanna,Perez,(216) 555-1346,481 Lancaster St. ,Duarte,CA,91010,Reseller
CA-1140,Hall-Henry Purveyors,Zane,Mathis,(494) 555-6789,57 Pendergast Ave. ,Ridgecrest,CA,93555,Reseller
CA-1141,Carroll-Romero Beverages,Gustavo,Garza,(673) 555-7491,7718 Cherry Street ,Mountain View,CA,94043,Reseller
CA-1142,Hughes  Wines,Xander,Blair,(499) 555-1118,8196 Foxrun Avenue ,San Pablo,CA,94806,Reseller
CA-1143,"Hayes, Simpson, and Hill Restaurant Group",Cullen,Waller,(636) 555-0320,31 Forest Lane ,Oxnard,CA,93035,Reseller
CA-1144,Johnson-Weaver Beverages,Akira,Mcintosh,(992) 555-1170,56 Rockaway Ave. ,Redondo Beach,CA,90278,Reseller
CA-1145,Jimenez-Santiago ,Josh,Serrano,(930) 555-6743,42 Saxon Street ,San Diego,CA,92111,Reseller
CA-1146,"Brown, Rivera, and Spence Purveyors",Taylor,Hendrix,(722) 555-4077,8 Dunbar Avenue ,Los Angeles,CA,90008,Reseller
CA-1147,Barton-Lowe Beverages,Skyler,Lloyd,(818) 555-7492,8 Newcastle Dr. ,Glendora,CA,91740,Reseller
CA-1148,"Kennedy, Knight, and Davis Beverages",Madyson,Harding,(327) 555-6729,60 Monroe St. ,Torrance,CA,90505,Reseller
CA-1149,Macias  Restaurant Group,Maximo,Middleton,(975) 555-2193,31 College Street ,Oakland,CA,94603,Reseller
CA-1150,"Clark, Morris, and Kim ",Sophie,Brown,(603) 555-3845,171 Oak Meadow Rd. ,Apple Valley,CA,92307,Reseller
CA-1151,Myers-Thornton LLC,Edward,Webb,(258) 555-1281,62 Sunbeam Circle ,Sacramento,CA,95820,Reseller
CA-1152,Lawrence  ,Royce,Arias,(510) 555-2944,8806 Monroe Ave. ,Lawndale,CA,90260,Reseller
CA-1153,Hernandez-Johnson Restaurant Group,Alma,Robinson,(373) 555-7436,664 Airport Road ,Santa Cruz,CA,95060,Reseller
CA-1154,Garcia  Beanine Group,Azaria,Stone,(309) 555-4059,3 Squaw Creek Street ,Banning,CA,92220,Reseller
CA-1155,Warren-Cunningham Restaurants,Kaylah,Sanchez,(877) 555-6170,643 Greenrose St. ,Atwater,CA,95301,Reseller
CA-1156,Premium Fold Sandwiches,Emelia,Gaines,(279) 555-4405,8 Cardinal Street ,Upland,CA,91784,Retailer
CA-1157,Arnold  Wines,Zara,Sanders,(662) 555-9325,5 Brookside Dr. ,Palos Verdes Peninsula,CA,90274,Reseller
CA-1158,Martinez Imports,Kieran,Lane,(994) 555-4439,8293 Randall Mill Street ,San Carlos,CA,94070,Reseller
CA-1159,Pamona Wines,Maya,Aguilar,(540) 555-8949,723 Charles Dr. ,Pomona,CA,91768,Reseller
CA-1160,"Thomas, Jones, and Jones Wines",Anne,Anderson,(858) 555-4491,99 Fremont Ave. ,San Jose,CA,95127,Reseller
CA-1161,Commercial Paper,Lucille,Morton,(286) 555-5008,477 Lafayette Rd. ,Ontario,CA,91762,Retailer
